Date,AAPL,MSFT,GOOG,GOOGL,AMZN,NVDA,META,TSLA,BRK-B,LLY
2023-06-13,181.28712463378906,329.1715393066406,123.69473266601562,123.09178161621094,126.66000366210938,40.996768951416016,269.8396301269531,258.7099914550781,336.3900146484375,438.4450378417969
2023-06-14,181.92002868652344,332.1748352050781,123.6450424194336,122.93272399902344,126.41999816894531,42.970558166503906,271.85858154296875,256.7900085449219,335.8999938964844,440.4124450683594
2023-06-15,183.95730590820312,342.77008056640625,125.04669952392578,124.3442611694336,127.11000061035156,42.62677001953125,280.2922668457031,255.89999389648438,339.82000732421875,446.52105712890625
2023-06-16,182.87933349609375,337.08843994140625,123.32691955566406,122.79356384277344,125.48999786376953,42.66574478149414,279.4668273925781,260.5400085449219,338.30999755859375,440.4026184082031
2023-06-20,182.9683380126953,332.8739318847656,123.1181640625,122.36612701416016,125.77999877929688,43.78105926513672,282.77862548828125,274.45001220703125,338.6700134277344,444.57342529296875
2023-06-21,181.92991638183594,328.45269775390625,120.54347229003906,119.83132934570312,124.83000183105469,43.01852798461914,280.1033630371094,259.4599914550781,338.6099853515625,445.6062927246094
2023-06-22,184.93637084960938,334.508544921875,123.13804626464844,122.41583251953125,130.14999389648438,42.99854278564453,283.3256530761719,264.6099853515625,336.9599914550781,450.2098388671875
2023-06-23,184.61990356445312,329.89031982421875,122.29307556152344,121.61065673828125,129.3300018310547,42.183040618896484,287.1546630859375,256.6000061035156,335.25,451.3509521484375
2023-06-26,183.2254638671875,323.5686340332031,118.38628387451172,117.63450622558594,127.33000183105469,40.60701370239258,276.95062255859375,241.0500030517578,334.1199951171875,445.37017822265625
2023-06-27,185.9846649169922,329.4472351074219,118.30677032470703,117.62456512451172,129.17999267578125,41.850242614746094,285.4837951660156,250.2100067138672,335.3399963378906,456.9185791015625
2023-06-28,187.1615447998047,330.7076110839844,120.36454010009766,119.46353149414062,129.0399932861328,41.09171676635742,283.7333984375,256.239990234375,334.1499938964844,451.2132568359375
2023-06-29,187.49778747558594,329.9198303222656,119.30086517333984,118.38997650146484,127.9000015258789,40.79689025878906,279.99395751953125,257.5,336.9100036621094,456.9086608886719
2023-06-30,191.82945251464844,335.3258361816406,120.25518798828125,118.98638916015625,130.36000061035156,42.27598190307617,285.4141845703125,261.7699890136719,341.0,461.325439453125
2023-07-03,190.33612060546875,332.8148193359375,119.84760284423828,119.1852035522461,130.22000122070312,42.38691711425781,284.45941162109375,279.82000732421875,342.0,453.8888244628906
2023-07-05,189.21859741210938,332.9723815917969,121.90538024902344,121.024169921875,130.3800048828125,42.290977478027344,292.7638854980469,282.4800109863281,341.55999755859375,458.0989990234375
2023-07-06,189.6933135986328,336.04461669921875,120.21542358398438,119.39395141601562,128.36000061035156,42.07710647583008,290.3968505859375,276.5400085449219,341.4599914550781,455.6496276855469
2023-07-07,188.5757598876953,332.0566711425781,119.43008422851562,118.7677230834961,129.77999877929688,42.47686004638672,288.94482421875,274.42999267578125,340.8999938964844,444.7012634277344
2023-07-10,186.52862548828125,326.7491760253906,116.17941284179688,115.75577545166016,127.12999725341797,42.15406036376953,292.495361328125,269.6099853515625,341.1300048828125,445.7636413574219
